years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Household
2036,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2037,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2038,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2039,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2040,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2041,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2042,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2043,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2044,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2045,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2046,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2047,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2048,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2049,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2050,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2051,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2052,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2053,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2054,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2055,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2056,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2057,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2058,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2059,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2060,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2061,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2062,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2063,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2064,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2065,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2066,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2067,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2068,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2069,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2070,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2071,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2072,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2073,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2074,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2075,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2076,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2077,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2078,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2079,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2080,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2081,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2082,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2083,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2084,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2085,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2086,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2087,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2088,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2089,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2090,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2091,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2092,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2093,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2094,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2095,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2096,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2097,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
